Worker ID,Skill Category,Skill Level,Years of Experience,Current Task Assigned,Shift Availability,Performance Rating,Certifications,Task Skills Required,Task Priority,Workload for Shift
74,Soldering,Medium,3,Module Assembly,Evening,3.9,Quality Control Certified,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
75,Robotics,High,1,Cell Assembly,Morning,3.1,Mechanical Technician,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
76,Quality Inspection,Low,4,Module Assembly,Evening,3.6,Mechanical Technician,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
77,Soldering,Low,7,Module Assembly,Night,4.8,Quality Control Certified,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
78,Welding,Low,5,Final Testing,Flexible,4.5,Certified BMS Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,14
79,Quality Inspection,High,1,Module Assembly,Night,4.4,Quality Control Certified,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
80,Welding,High,8,Module Assembly,Night,3.1,Certified BMS Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
81,Soldering,High,2,Cell Assembly,Flexible,4.5,Electrical Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
82,Robotics,High,2,Final Testing,Flexible,4.4,Quality Control Certified,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,14
83,Electrical Wiring,Medium,8,Module Assembly,Flexible,4.3,Certified Welder,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
84,Quality Inspection,Low,6,Module Assembly,Flexible,4.4,Certified Welder,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
85,Quality Inspection,High,2,Module Assembly,Morning,4.0,Certified Welder,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
86,Automation,High,2,Pack Assembly,Night,4.9,Quality Control Certified,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,10
87,Packaging,Medium,2,Module Assembly,Evening,3.1,Certified Welder,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
88,Soldering,Low,4,Final Testing,Morning,3.9,None,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
89,Automation,High,8,Module Assembly,Evening,3.8,Certified BMS Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
90,Robotics,Low,4,Cell Assembly,Evening,3.1,Quality Control Certified,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
91,Robotics,High,1,Pack Assembly,Evening,4.6,Mechanical Technician,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
92,Mechanical Assembly,High,2,Final Testing,Flexible,3.9,None,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,14
93,Packaging,Medium,8,Pack Assembly,Evening,4.4,None,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
94,Quality Inspection,High,3,Cell Assembly,Flexible,4.0,Certified Welder,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
95,Electrical Wiring,High,1,Module Assembly,Night,3.4,Mechanical Technician,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
96,BMS Integration,High,6,Cell Assembly,Night,4.0,Certified BMS Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
97,Soldering,Low,6,Module Assembly,Evening,4.7,Electrical Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
98,Electrical Wiring,Medium,6,Pack Assembly,Morning,3.8,Certified BMS Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,15
99,BMS Integration,Medium,6,Cell Assembly,Evening,3.1,Certified BMS Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
100,Quality Inspection,Low,1,Final Testing,Night,3.7,Mechanical Technician,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
101,Electrical Wiring,Medium,6,Module Assembly,Evening,4.3,Certified BMS Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
102,Electrical Wiring,Low,1,Module Assembly,Morning,3.5,None,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
103,Welding,High,2,Final Testing,Evening,4.7,Certified Welder,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
104,Mechanical Assembly,Medium,8,Final Testing,Flexible,5.0,Certified BMS Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,14
105,Packaging,Medium,7,Module Assembly,Night,4.1,Certified Welder,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
106,Packaging,Medium,5,Cell Assembly,Night,4.1,Certified Welder,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
107,Mechanical Assembly,Low,3,Cell Assembly,Morning,4.6,Certified BMS Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
108,Soldering,Medium,7,Cell Assembly,Evening,3.8,Certified BMS Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
109,Soldering,Low,5,Pack Assembly,Night,3.7,Quality Control Certified,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,10
110,Welding,Low,3,Module Assembly,Morning,4.5,Quality Control Certified,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
111,Electrical Wiring,High,1,Module Assembly,Night,4.3,Electrical Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
112,Automation,High,2,Pack Assembly,Night,4.1,Certified BMS Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,10
113,Electrical Wiring,Medium,4,Final Testing,Evening,3.4,Mechanical Technician,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
114,Mechanical Assembly,High,1,Cell Assembly,Evening,3.1,Certified Welder,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
115,Soldering,Low,3,Module Assembly,Morning,3.1,Electrical Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
116,Welding,Medium,2,Cell Assembly,Night,4.4,Certified Welder,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
117,Quality Inspection,Medium,3,Pack Assembly,Morning,4.2,Mechanical Technician,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,15
118,Packaging,High,2,Cell Assembly,Flexible,4.8,Electrical Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
119,Robotics,Medium,3,Cell Assembly,Flexible,3.4,Mechanical Technician,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
120,Robotics,High,7,Pack Assembly,Flexible,3.9,None,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,14
121,Robotics,Low,2,Pack Assembly,Night,3.4,Certified Welder,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,10
122,Quality Inspection,High,7,Cell Assembly,Evening,4.3,Mechanical Technician,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
123,Electrical Wiring,Low,3,Final Testing,Night,3.7,None,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
124,Mechanical Assembly,Low,6,Final Testing,Evening,4.4,None,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
125,Packaging,Medium,2,Cell Assembly,Evening,3.4,None,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
126,Welding,Medium,5,Cell Assembly,Night,3.9,None,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
127,Mechanical Assembly,Low,5,Pack Assembly,Night,5.0,Quality Control Certified,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,10
128,Robotics,High,3,Final Testing,Flexible,3.9,Quality Control Certified,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,14
129,Soldering,Medium,1,Final Testing,Morning,4.6,Certified Welder,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
130,BMS Integration,Low,2,Cell Assembly,Night,3.8,Quality Control Certified,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
131,Welding,Medium,6,Pack Assembly,Evening,4.7,Certified Welder,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
132,Mechanical Assembly,Low,4,Final Testing,Flexible,3.8,Mechanical Technician,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,14
133,Quality Inspection,High,3,Cell Assembly,Morning,3.4,Certified Welder,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
134,BMS Integration,Medium,6,Cell Assembly,Night,3.3,Certified BMS Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
135,BMS Integration,High,1,Pack Assembly,Night,3.1,Certified Welder,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,10
136,Welding,High,2,Final Testing,Flexible,4.2,Quality Control Certified,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,14
137,Mechanical Assembly,High,5,Module Assembly,Flexible,4.5,Certified Welder,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
138,Mechanical Assembly,Low,4,Pack Assembly,Night,3.6,Certified BMS Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,10
139,Robotics,Medium,3,Final Testing,Night,3.3,Mechanical Technician,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
140,Soldering,Low,3,Final Testing,Night,3.3,Certified BMS Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
141,Quality Inspection,High,8,Module Assembly,Flexible,3.7,Quality Control Certified,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
142,Automation,High,4,Final Testing,Night,4.6,Mechanical Technician,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
143,Electrical Wiring,Medium,1,Cell Assembly,Flexible,4.9,Mechanical Technician,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
144,Mechanical Assembly,Low,6,Module Assembly,Evening,4.1,Certified BMS Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
145,Robotics,Low,7,Final Testing,Flexible,4.8,Certified Welder,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,14
146,Welding,High,8,Cell Assembly,Night,3.7,Certified Welder,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
147,Quality Inspection,Low,3,Cell Assembly,Night,4.1,None,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
148,Electrical Wiring,Low,4,Module Assembly,Evening,4.8,None,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
149,Robotics,Low,1,Final Testing,Evening,4.7,Certified BMS Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
150,Electrical Wiring,Medium,4,Pack Assembly,Evening,4.8,Mechanical Technician,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
151,BMS Integration,High,1,Final Testing,Night,3.5,Certified BMS Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
152,Packaging,Medium,8,Final Testing,Night,4.4,Mechanical Technician,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
153,Electrical Wiring,Low,5,Module Assembly,Evening,3.8,Certified Welder,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
154,Packaging,Medium,5,Cell Assembly,Flexible,3.4,Certified BMS Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
155,BMS Integration,Low,3,Module Assembly,Flexible,3.2,Certified BMS Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
156,Welding,Medium,3,Module Assembly,Morning,3.7,Electrical Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
157,Welding,Medium,1,Final Testing,Evening,4.7,Certified BMS Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
158,Packaging,Low,1,Pack Assembly,Flexible,4.7,Mechanical Technician,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,14
159,Soldering,High,8,Cell Assembly,Night,3.3,Certified Welder,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
160,Mechanical Assembly,Low,3,Cell Assembly,Morning,3.4,None,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
161,Electrical Wiring,Low,3,Final Testing,Evening,3.3,Quality Control Certified,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
162,Soldering,Medium,3,Pack Assembly,Night,4.0,Electrical Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,10
163,Robotics,High,3,Cell Assembly,Flexible,3.7,Certified Welder,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
164,Soldering,High,5,Final Testing,Evening,4.7,Certified BMS Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
165,Automation,Medium,8,Module Assembly,Flexible,4.9,None,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
166,Soldering,Low,2,Module Assembly,Flexible,3.7,Certified BMS Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
167,Electrical Wiring,Medium,8,Final Testing,Morning,4.3,Quality Control Certified,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
168,BMS Integration,High,4,Pack Assembly,Evening,3.5,Electrical Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
169,Automation,Medium,1,Final Testing,Morning,4.8,Certified BMS Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
170,Mechanical Assembly,Medium,3,Pack Assembly,Flexible,4.6,None,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,14
171,Soldering,Medium,8,Final Testing,Evening,3.9,Certified Welder,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
172,BMS Integration,Medium,7,Pack Assembly,Evening,3.5,Mechanical Technician,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
173,Packaging,Medium,3,Cell Assembly,Flexible,3.9,Certified Welder,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
174,Mechanical Assembly,High,4,Cell Assembly,Night,3.3,Electrical Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
175,Automation,Medium,3,Pack Assembly,Night,4.8,Mechanical Technician,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,10
176,BMS Integration,High,7,Cell Assembly,Flexible,3.4,Certified Welder,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
177,Packaging,Medium,2,Module Assembly,Morning,4.4,Mechanical Technician,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
178,Electrical Wiring,High,3,Pack Assembly,Flexible,3.3,None,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,14
179,Welding,Low,5,Cell Assembly,Night,3.7,Electrical Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
180,Soldering,High,1,Cell Assembly,Evening,4.2,None,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
181,Soldering,High,1,Module Assembly,Flexible,3.0,Mechanical Technician,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
182,Mechanical Assembly,High,5,Module Assembly,Evening,4.9,None,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
183,Mechanical Assembly,High,6,Module Assembly,Night,3.9,Mechanical Technician,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
184,Automation,High,6,Cell Assembly,Flexible,4.5,Certified BMS Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
185,Automation,High,2,Cell Assembly,Night,3.5,Certified BMS Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
186,Mechanical Assembly,Medium,2,Pack Assembly,Flexible,4.5,Electrical Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,14
187,Robotics,Low,1,Cell Assembly,Flexible,4.1,Electrical Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
188,Electrical Wiring,Medium,4,Pack Assembly,Morning,4.6,None,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,15
189,Quality Inspection,Low,3,Cell Assembly,Flexible,4.8,Mechanical Technician,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
190,Automation,High,1,Module Assembly,Flexible,4.4,None,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
191,Welding,Low,8,Pack Assembly,Night,4.9,Mechanical Technician,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,10
